name,cuisines,rating,cost_for_two,city
Jalsa,"North Indian, Mughlai, Chinese",4.1,800.0,Banashankari
Spice Elephant,"Chinese, North Indian, Thai",4.1,800.0,Banashankari
San Churro Cafe,"Cafe, Mexican, Italian",3.8,800.0,Banashankari
Addhuri Udupi Bhojana,"South Indian, North Indian",3.7,300.0,Banashankari
Grand Village,"North Indian, Rajasthani",3.8,600.0,Basavanagudi
Timepass Dinner,North Indian,3.8,600.0,Basavanagudi
Rosewood International Hotel - Bar & Restaurant,"North Indian, South Indian, Andhra, Chinese",3.6,800.0,Mysore Road
Onesta,"Pizza, Cafe, Italian",4.6,600.0,Banashankari
Penthouse Cafe,"Cafe, Italian, Continental",4.0,700.0,Banashankari
Smacznego,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550.0,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Cafe,4.1,500.0,Banashankari
Cafe Shuffle,"Cafe, Italian, Continental",4.2,600.0,Banashankari
The Coffee Shack,"Cafe, Chinese, Continental, Italian",4.2,500.0,Banashankari
Caf-Eleven,"Cafe, Continental",4.0,450.0,Banashankari
San Churro Cafe,"Cafe, Mexican, Italian",3.8,800.0,Banashankari
Cafe Vivacity,Cafe,3.8,650.0,Banashankari
Catch-up-ino,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800.0,Banashankari
Kirthi's Biryani,"Chinese, Cafe, Italian",3.8,700.0,Banashankari
T3H Cafe,"Cafe, Italian, American",3.9,300.0,Banashankari
360 Atoms Restaurant And Cafe,"Cafe, Chinese, Continental, Italian",3.1,400.0,Banashankari
The Vintage Cafe,"Cafe, French, North Indian",3.0,400.0,Banashankari
Woodee Pizza,"Cafe, Pizza, Fast Food, Beverages",3.7,500.0,Banashankari
Cafe Coffee Day,"Cafe, Fast Food",3.6,900.0,Banashankari
My Tea House,"Italian, Fast Food, Cafe, European",3.6,600.0,Banashankari
Hide Out Cafe,Cafe,3.7,300.0,Banashankari
CAFE NOVA,"Cafe, Bakery",3.2,600.0,Banashankari
Coffee Tindi,"Cafe, South Indian",3.8,200.0,Banashankari
Sea Green Cafe,"Cafe, Fast Food, Beverages",3.3,500.0,Banashankari
Cuppa,"Cafe, Fast Food",3.3,550.0,Banashankari
Srinathji's Cafe,"North Indian, Cafe, Chinese, Fast Food",3.8,550.0,Basavanagudi
Redberrys,"Cafe, Italian",4.0,600.0,Basavanagudi
Foodiction,"North Indian, Fast Food, Chinese, Burger",2.8,500.0,Banashankari
Sweet Truth,"Bakery, Desserts",3.9,500.0,Banashankari
Ovenstory Pizza,Pizza,3.9,750.0,Banashankari
Faasos,"North Indian, Biryani, Fast Food",4.2,500.0,Banashankari
Behrouz Biryani,Biryani,3.9,650.0,Banashankari
Fast And Fresh,"North Indian, Chinese, Fast Food",2.8,400.0,Banashankari
Szechuan Dragon,"Chinese, Thai, Momos",4.2,600.0,Banashankari
Empire Restaurant,"North Indian, Mughlai, South Indian, Chinese",4.4,750.0,Jayanagar
Maruthi Davangere Benne Dosa,South Indian,4.0,150.0,Banashankari
Chaatimes,"Street Food, Fast Food",3.8,200.0,Basavanagudi
Havyaka Mess,South Indian,3.9,300.0,Banashankari
McDonald's,"Burger, Fast Food",3.9,500.0,Banashankari
Domino's Pizza,"Pizza, Fast Food",3.9,800.0,Banashankari
Onesta,"Pizza, Cafe, Italian",4.6,600.0,Banashankari
Hotboxit,"North Indian, Continental, Italian",3.8,400.0,Banashankari
Kitchen Garden,"North Indian, Chinese",3.6,300.0,Kumaraswamy Layout
Recipe,"North Indian, Chinese, Biryani, Rolls",4.0,450.0,Kumaraswamy Layout
Beijing Bites,"Chinese, Thai",3.7,850.0,Rajarajeshwari Nagar
Tasty Bytes,"North Indian, Chinese, Momos, Rolls",3.1,300.0,Kumaraswamy Layout
Petoo,North Indian,3.7,450.0,Banashankari
Shree Cool Point,"Fast Food, Street Food, Beverages",4.1,150.0,Vijay Nagar
Corner House Ice Cream,"Ice Cream, Desserts",4.3,400.0,Banashankari
Biryanis And More,"Biryani, North Indian, Chinese, Andhra, South Indian",4.0,750.0,Jayanagar
Roving Feast,"Italian, Continental, Fast Food, Chinese, Momos",4.0,450.0,Banashankari
FreshMenu,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9,450.0,Banashankari
Banashankari Donne Biriyani,"Biryani, Fast Food",3.8,300.0,Banashankari
Wamama,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,800.0,Banashankari
Five Star Chicken,"Fast Food, Burger",3.6,200.0,Banashankari
XO Belgian Waffle,"Desserts, Beverages",3.7,400.0,Banashankari
Peppy Peppers,"Italian, North Indian, Mexican",4.2,800.0,Banashankari
Goa 0 Km,"Goan, Seafood, North Indian, Chinese, Biryani",3.6,800.0,Kumaraswamy Layout
Chinese Kitchen,Chinese,3.8,150.0,Basavanagudi
1947,"North Indian, Chinese",4.0,850.0,Banashankari
Cake of the Day,Bakery,3.7,150.0,Banashankari
Kabab Magic,"North Indian, Kebab, Chinese, Fast Food",4.1,400.0,Basavanagudi
Namma Brahmin's Idli,South Indian,3.6,100.0,Jayanagar
Gustoes Beer House,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1,1200.0,Banashankari
Sugar Rush,"Bakery, Desserts",3.8,300.0,Banashankari
Burger King,"Burger, Fast Food, Beverages",3.2,600.0,Basavanagudi
The Good Bowl,"Italian, North Indian, Biryani",3.6,500.0,Banashankari
The Biryani Cafe,"Biryani, Chinese, Kebab",4.1,300.0,Banashankari
LSD Cafe,"Chinese, Continental, Italian, North Indian",2.9,700.0,Banashankari
Rolls On Wheels,"Fast Food, Rolls, Momos",3.6,300.0,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,South Indian,4.1,150.0,Basavanagudi
Devanna Dum Biriyani Centre,"Biryani, South Indian",3.6,300.0,Banashankari
Kolbeh,Fast Food,3.7,500.0,Banashankari
Upahar Sagar,"South Indian, Chinese, North Indian",3.8,350.0,Banashankari
Kadalu Sea Food Restaurant,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",3.8,500.0,Vijay Nagar
